[1, 17, 10, 42, 20, 9, 8]
[1, 13, 6, 26, 17, 3, 5]
[1, 43, 50, 45, 24, 5, 8]
[1, 41, 43, 11, 29, 3, 11]
[1, 4, 44, 33, 23, 8, 7]
[1, 27, 2, 11, 29, 10, 1]
[1, 22, 6, 13, 28, 10, 5]
[1, 46, 8, 42, 48, 4, 7]
[1, 11, 36, 29, 42, 4, 5]
[1, 35, 38, 50, 28, 2, 10]
[1, 26, 25, 44, 18, 5, 4]
[1, 17, 13, 44, 38, 2, 11]
[1, 8, 18, 25, 30, 10, 9]
[1, 20, 6, 2, 36, 11, 8]
[1, 6, 10, 31, 12, 7, 2]
[1, 16, 48, 4, 40, 1, 9]
[1, 3, 24, 6, 18, 5, 8]
[1, 31, 7, 17, 36, 8, 2]
[1, 33, 21, 45, 49, 4, 8]
[1, 30, 20, 9, 23, 4, 7]
[1, 31, 34, 26, 47, 4, 9]
